OBJECTID,Loc_name,Score,X,Y,HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CD,COUNTYNAME,TELEPHONE,FAX,LIC_TYPE,CAH,DEEMED,SWING,HLTH_SYS,ADMINISTRATOR,HOSP_BEDS,BASS_BEDS,HOSP18_BEDS
138,MANUAL,,479384.6346,4977886.323,242,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,MN,55407,27,HENNEPIN,612-863-4000,612-863-5667,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. TOM O'CONNOR,952,44,913
139,MANUAL,,263675.6439,5009549.93,655,APPLETON MUNICIPAL HOSPITAL,30 SOUTH BEHL STREET,APPLETON,MN,56208,76,SWIFT,320-289-2422,320-289-2764,CITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MS. LORI ANDREAS,15,1,0
140,MANUAL,,279017.1919,4925357.545,343,AVERA MARSHALL REG MED CENTER,300 SOUTH BRUCE STREET,MARSHALL,MN,56258,42,LYON,507-532-9661,507-532-9259,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,AVERA,MS. MARY MAERTENS,49,8,0
141,MANUAL,,250165.4013,4906832.716,338,AVERA TYLER HOSPITAL,240 WILLOW STREET,TYLER,MN,56178,41,LINCOLN,507-247-5521,507-247-5972,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,AVERA,MR. ALLEN ANDERSON,20,1,0
142,MANUAL,,451594.676,5288430.355,300,BIGFORK VALLEY HOSPITAL,258 PINE TREE DRIVE,BIGFORK,MN,56628,31,ITASCA,218-743-3177,218-743-3559,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. AARON SAUDE,20,4,0
143,MANUAL,,431569.733,5004964.455,860,BUFFALO HOSPITAL,303 CATLIN STREET,BUFFALO,MN,55313,86,WRIGHT,763-682-1212,763-684-7910,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MS. JENNIFER MYSTER,65,18,65
144,MANUAL,,481979.4517,5045875.286,295,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD STREET,CAMBRIDGE,MN,55008,30,ISANTI,763-689-7700,763-688-7941,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. GARY SHAW,86,15,86
145,MANUAL,,339074.1193,4998332.873,316,CARRIS HEALTH LLC,301 BECKER AVENUE SW,WILLMAR,MN,56201,34,KANDIYOHI,320-231-4227,320-231-4869,LIMITED LIABILITY COMPANY,,Provider Has Deemed Status,,INDEPENDENT,MR. MICHAEL SCHRAMM,136,20,128
146,MANUAL,,356801.935,5092767.148,33211,CENTRACARE HEALTH LONG PRAIRIE,50 CENTRACARE DRIVE,LONG PRAIRIE,MN,56347,77,TODD,320-732-2141,320-732-7298,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,,MR. DANIEL SWENSON,34,10,0
147,MANUAL,,438953.4206,5016611.999,717,CENTRACARE HEALTH MONTICELLO,1013 HART BOULEVARD STE 1,MONTICELLO,MN,55362,86,WRIGHT,763-271-2845,763-271-2459,OTHER NONPROFIT OWNERSHIP,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,CENTRACARE HEALTH SYSTEM,MS JENNIFER SMOLEN,39,12,0
148,MANUAL,,365657.2824,5025974.729,636,CENTRACARE HEALTH PAYNESVILLE,200 WEST 1ST STREET,PAYNESVILLE,MN,56362,73,STEARNS,320-243-3767,320-243-6707,LIMITED LIABILITY COMPANY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. BRANDON PIETSCH,30,6,0
149,MANUAL,,357903.906,5059637.537,633,CENTRACARE HEALTH SYS MELROSE,525 MAIN STREET WEST,MELROSE,MN,56352,73,STEARNS,320-256-4231,320-256-1814,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,CENTRACARE HEALTH SYSTEM,MR. GERRY GILBERTSON,28,6,0
150,MANUAL,,347894.7974,5067663.618,640,CENTRACARE HEALTH SYSTEM,425 NORTH ELM STREET,SAUK CENTRE,MN,56378,73,STEARNS,320-352-2221,320-352-5150,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,CENTRACARE HEALTH SYSTEM,MR. DELANO CHRISTIANSON,28,8,0
151,MANUAL,,479335.3562,4978168.441,741,CHILDRENS HOSP & CLINICS MPLS,2525 CHICAGO AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-813-6112,612-813-6807,NONPROFIT CORPORATION,,Provider Has Deemed Status,,CHILDRENS HOSP & CLINICS OF MN,DR. MARK GORELICK,279,196,279
152,MANUAL,,286098.3638,4981469.499,60,CHIPPEWA COUNTY MONTEVIDEO HOS,824 NORTH 11TH STREET,MONTEVIDEO,MN,56265,12,CHIPPEWA,320-269-8877,320-269-8186,CITY-COUNTY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. CHUCK BRUHN,30,6,0
153,MANUAL,,541104.8326,5175444.657,48,COMMUNITY MEMORIAL HOSPITAL,512 SKYLINE BOULEVARD,CLOQUET,MN,55720,9,CARLTON,218-879-4641,218-879-9167,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. RICHARD BREUER,36,6,0
154,MANUAL,,523973.2377,5300054.798,586,COOK HOSPITAL,10 5TH STREET SE,COOK,MN,55723,69,SAINT LOUIS,218-666-6209,218-666-6238,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MS. TERESA DEBEVEC,14,0,0
155,MANUAL,,427396.8371,5148009.278,91,CUYUNA REGIONAL MEDICAL CENTER,320 EAST MAIN STREET,CROSBY,MN,56441,18,CROW WING,218-546-2300,218-546-7268,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,INDEPENDENT,MS. NANCY STRATMAN,42,7,0
156,MANUAL,,440242.7287,5243707.886,296,DEER RIVER HEALTH CARE CENTER,115 10TH AVENUE NE,DEER RIVER,MN,56636,31,ITASCA,218-246-2900,218-246-3013,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA,MS. SHAWNA SMITH,20,6,0
157,MANUAL,,479427.3511,4903972.731,569,DISTRICT ONE HOSPITAL,200 STATE AVENUE,FARIBAULT,MN,55021,66,RICE,507-334-6451,507-332-4848,NONPROFIT CORPORATION,,,,ALLINA HOSP & CLINICS,MR. DAVID ALBRECHT,49,10,49
158,MANUAL,,315536.6101,5082783.33,111,DOUGLAS COUNTY HOSPITAL,111 17TH AVENUE EAST,ALEXANDRIA,MN,56308,21,DOUGLAS,320-762-1511,320-762-6120,COUNTY,,Provider Has Deemed Status,,INDEPENDENT,MR. CARL VAAGENES,127,14,127
159,MANUAL,,584289.5457,5305830.036,28259,ELY BLOOMENSON COMM HOSPITAL,328 WEST CONAN STREET,ELY,MN,55731,69,SAINT LOUIS,218-365-3271,218-365-8777,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. MICHAEL COYLE,21,0,0
160,MANUAL,,233039.1323,5244284.194,26485,ESSENTIA HEALTH ADA CLINIC,201 9TH STREET WEST,ADA,MN,56510,54,NORMAN,218-784-5000,218-784-3855,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA,MS. ERIN STOLTMAN,14,0,0
161,MANUAL,,569199.7574,5182573.439,596,ESSENTIA HEALTH DULUTH,502 EAST 2ND STREET,DULUTH,MN,55805,69,SAINT LOUIS,218-786-2806,218-786-5922,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ESSENTIA,MS. MELISSA SCHACHERER,165,0,121
162,MANUAL,,293967.6397,5272289.044,461,ESSENTIA HEALTH FOSSTON,900 HILLIGOSS BOULEVARD SE,FOSSTON,MN,56542,60,POLK,218-435-1133,218-435-1134,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA,MR. KEVIN GISH,43,7,0
163,MANUAL,,232022.2235,5051200.912,27,ESSENTIA HEALTH HOLY TRINITY,115 WEST 2ND STREET BOX 157,GRACEVILLE,MN,56240,6,BIG STONE,320-748-8200,320-748-7240,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA,MS. JULIE ROSENBERG,15,0,0
164,MANUAL,,558020.8806,5263015.405,604,ESSENTIA HEALTH NORTHERN PINES,5211 HIGHWAY 110,AURORA,MN,55705,69,SAINT LOUIS,218-229-4221,218-229-2042,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA,MS. LAURA ACKMAN,16,4,0
165,MANUAL,,508862.0142,5107279.811,453,ESSENTIA HEALTH SANDSTONE,705 LUNDORFF DRIVE,SANDSTONE,MN,55072,58,PINE,320-245-2212,320-245-5243,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA / IND.,MR. MICHAEL HEDRIX,30,5,0
166,MANUAL,,407236.2146,5134966.792,93,ESSENTIA HEALTH ST JOSEPHS MED,523 NORTH 3RD STREET,BRAINERD,MN,56401,18,CROW WING,218-829-2861,218-828-3103,CHURCH RELATED,,Provider Has Deemed Status,,ESSENTIA,MR. ADAM REES,162,15,140
167,MANUAL,,283067.4642,5188515.356,888,ESSENTIA HEALTH ST MARYS DETRO,1027 WASHINGTON AVENUE,DETROIT LAKES,MN,56501,3,BECKER,218-847-0888,218-847-7674,NONPROFIT CORPORATION,,Provider Has Deemed Status,Medicare Certified Swing Bed,ESSENTIA,MR. PETER JACOBSON,87,16,87
168,MANUAL,,568999.6731,5182634.349,600,ESSENTIA HEALTH ST MARYS MED,407 EAST 3RD STREET,DULUTH,MN,55805,69,SAINT LOUIS,218-786-4000,218-786-4888,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ESSENTIA,MR. JAMES GARVEY,380,46,380
169,MANUAL,,533979.8212,5264369.666,603,ESSENTIA HEALTH VIRGINIA,901 9TH STREET NORTH,VIRGINIA,MN,55792,69,SAINT LOUIS,218-741-3340,218-749-6547,OTHER NONPROFIT OWNERSHIP,,Provider Has Deemed Status,,ESSENTIA,MS. LAURA ACKMAN,83,6,67
170,MANUAL,,499963.3573,5018690.483,6,FAIRVIEW LAKES MEDICAL CENTER,5200 FAIRVIEW BOULEVARD,WYOMING,MN,55092,13,CHISAGO,763-389-6481,651-982-7110,NONPROFIT CORPORATION,,Provider Has Deemed Status,,FAIRVIEW HEALTH SERVICES,MR. JOHN HERMAN,61,12,61
171,MANUAL,,453951.2444,5045167.27,408,FAIRVIEW NORTHLAND REG HOSP,911 NORTHLAND DRIVE,PRINCETON,MN,55371,48,MILLE LACS,763-389-6481,763-389-6306,NONPROFIT CORPORATION,,Provider Has Deemed Status,,FAIRVIEW HEALTH SERVICES,MR. JOHN HERMAN,54,10,54
172,MANUAL,,478421.9976,4955106.38,107,FAIRVIEW RIDGES HOSPITAL,201 EAST NICOLLET BOULEVARD,BURNSVILLE,MN,55337,19,DAKOTA,952-892-2101,952-892-2107,NONPROFIT CORPORATION,,Provider Has Deemed Status,,FAIRVIEW HEALTH SERVICES,MR. PATRICK BELLAND,150,48,150
173,MANUAL,,474187.0488,4970370.544,201,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE SOUTH,EDINA,MN,55435,27,HENNEPIN,952-924-5100,952-924-5382,NONPROFIT CORPORATION,,Provider Has Deemed Status,,FAIRVIEW HEALTH SERVICES,MR. PATRICK BELLAND,390,45,372
174,MANUAL,,477400.202,5080175.787,308,FIRSTLIGHT HEALTH SYSTEM,301 HIGHWAY 65 SOUTH,MORA,MN,55051,33,KANABEC,320-679-1212,320-225-3320,COUNTY,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,FIRST LIGHT HEALTH SYSTEM,MR. RANDY ULSETH,49,8,0
175,MANUAL,,492476.1722,4978093.287,488,GILLETTE CHILDRENS SPEC HOSP,200 UNIVERSITY AVENUE EAST,ST PAUL,MN,55101,62,RAMSEY,651-578-5611,651-229-3844,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTHPARTNERS,MS. BARBARA JOERS,60,0,60
176,MANUAL,,313824.5342,5057529.769,473,GLACIAL RIDGE HOSPITAL,10 4TH AVENUE SE,GLENWOOD,MN,56334,61,POPE,320-634-4521,320-634-2269,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. KIRK STENSRUD,34,4,0
177,MANUAL,,408726.905,4958978.747,351,GLENCOE REGIONAL HEALTH SRVCS,1805 HENNEPIN AVENUE NORTH,GLENCOE,MN,55336,43,MCLEOD,320-864-3121,320-864-7887,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. JON BRABAND,49,8,0
178,MANUAL,,457941.2614,5230156.644,297,GRAND ITASCA CLINIC & HOSP,1601 GOLF COURSE ROAD,GRAND RAPIDS,MN,55744,31,ITASCA,218-999-3401,218-999-1461,NONPROFIT CORPORATION,,Provider Has Deemed Status,,INDEPENDENT,MR. MICHAEL YOUSO,64,10,64
179,MANUAL,,491890.1073,4978337.81,976,HEALTHEAST BETHESDA HOSPITAL,559 CAPITOL BOULEVARD,ST PAUL,MN,55103,62,RAMSEY,651-232-2185,651-232-2118,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTHEAST,MR. PATRICK BELLAND,254,0,254
180,MANUAL,,497298.964,4986176.302,224,HEALTHEAST ST JOHNS HOSPITAL,1575 BEAM AVENUE,MAPLEWOOD,MN,55109,62,RAMSEY,651-232-7000,651-232-7240,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTHEAST,MS. LIA CHRISTIANSEN,184,44,184
181,MANUAL,,501856.5166,4974275.794,4278,HEALTHEAST WOODWINDS HOSPITAL,1925 WOODWINDS DRIVE,WOODBURY,MN,55125,82,WASHINGTON,651-232-2185,651-232-6888,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTHEAST,MS. LIA CHRISTIANSEN,86,28,86
182,MANUAL,,228267.196,4933743.165,340,HENDRICKS COMM HOSP,503 EAST LINCOLN STREET,HENDRICKS,MN,56136,41,LINCOLN,507-275-3134,507-275-2242,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. JEFFREY GOLLAHER,24,0,0
183,MANUAL,,479308.6028,4979884.09,211,HENNEPIN COUNTY MEDICAL CTR,701 PARK AVENUE,MINNEAPOLIS,MN,55415,27,HENNEPIN,612-873-3629,612-873-1985,COUNTY,,Provider Has Deemed Status,,INDEPENDENT,MR. ANTHONY CAMPISI,894,65,765
184,MANUAL,,391512.1874,4970071.117,350,HUTCHINSON HEALTH,1095 HIGHWAY 15 SOUTH,HUTCHINSON,MN,55350,43,MCLEOD,320-234-5000,320-484-4688,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,DR. STEVEN MULDER,66,6,54
185,MANUAL,,258010.5344,4979899.829,326,JOHNSON MEMORIAL HOSP & HOME,1282 WALNUT STREET,DAWSON,MN,56232,37,LAC QUI PARLE,320-769-4323,320-769-2972,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MS. STACEY LEE,20,2,0
186,MANUAL,,210482.705,5409028.432,321,KITTSON MEMORIAL HOSPITAL,1010 SOUTH BIRCH AVENUE,HALLOCK,MN,56728,35,KITTSON,218-843-3612,218-843-8879,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. CINDY URBANIAK,15,0,0
187,MANUAL,,263217.9388,5129430.238,437,LAKE REGION HEALTHCARE CORP,712 CASCADE STREET SOUTH,FERGUS FALLS,MN,56537,56,OTTER TAIL,218-736-8000,218-736-8765,NONPROFIT CORPORATION,,Provider Has Deemed Status,,INDEPENDENT,MR. KYLE RICHARDS,108,10,80
188,MANUAL,,601334.5816,5209371.797,331,LAKE VIEW MEMORIAL HOSPITAL,325 11TH AVENUE,TWO HARBORS,MN,55616,38,LAKE,218-834-7300,218-834-7388,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ST. LUKE'S DULUTH,MR. GRET RUBERG,25,1,0
189,MANUAL,,514316.0568,4988214.682,689,LAKEVIEW MEMORIAL HOSPITAL,927 WEST CHURCHILL STREET,STILLWATER,MN,55082,82,WASHINGTON,651-430-5330,651-430-4512,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTH PARTNERS,MR. THEODORE WEGLEITNER,97,15,97
190,MANUAL,,382257.378,5396074.542,333,LAKEWOOD HEALTH CENTER,600 MAIN AVENUE SOUTH,BAUDETTE,MN,56623,39,LAKE OF THE WOODS,218-634-2120,218-634-3416,CHURCH RELATED,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,CATHOLIC HEALTH INITIATIVES,MR. BENJAMIN KOPPELMAN,15,0,0
191,MANUAL,,365218.6541,5134553.897,24633,LAKEWOOD HEALTH SYSTEM,49725 COUNTY ROAD 83,STAPLES,MN,56479,77,TODD,218-894-1515,218-894-8355,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. TIM RICE,37,8,0
192,MANUAL,,297458.3541,5413259.273,579,LIFECARE MEDICAL CENTER,715 DELMORE DRIVE,ROSEAU,MN,56751,68,ROSEAU,218-463-2500,218-463-1266,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,INDEPENDENT,MS. EMILY STRAW,25,7,0
193,MANUAL,,387058.2827,4878310.57,696,MADELIA COMMUNITY HOSPITAL,121 DREW AVENUE SE,MADELIA,MN,56062,83,WATONWAN,507-642-3255,507-642-8516,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,INDEPENDENT,MS. CANDACE FENSKE,25,2,0
194,MANUAL,,248821.7831,4989909.094,328,MADISON HOSPITAL,820 3RD AVENUE,MADISON,MN,56256,37,LAC QUI PARLE,320-598-7536,320-598-3470,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. ERIK BJERKE,12,2,0
195,MANUAL,,275313.1974,5244095.206,353,MAHNOMEN HEALTH CENTER,414 WEST JEFFERSON AVENUE,MAHNOMEN,MN,56557,44,MAHNOMEN,218-935-2511,218-935-2370,CITY-COUNTY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MR. DALE KRUGER,18,0,0
196,MANUAL,,462172.9858,4997835.416,25593,MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,MAPLE GROVE,MN,55369,27,HENNEPIN,763-581-1000,763-581-1555,NONPROFIT CORPORATION,,Provider Has Deemed Status,,NORTH/FAIRVIEW HEALTH SERVICES,MR. ANDY COCHRANE,130,50,130
197,MANUAL,,469940.9635,4833329.983,920,MAYO CLINIC HEALTH SYS ALBT LE,404 WEST FOUNTAIN STREET,ALBERT LEA,MN,56007,24,FREEBORN,507-377-6452,507-377-6383,NONPROFIT CORPORATION,,Provider Has Deemed Status,,MAYO,MS. KRISTIN JOHNSON,159,22,143
198,MANUAL,,507697.0189,4925876.939,140,MAYO CLINIC HEALTH SYS CF,32021 COUNTY 24 BOULEVARD,CANNON FALLS,MN,55009,25,GOODHUE,507-263-6000,507-263-9640,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,MAYO,MR. WILLIAM PRIEST,15,0,0
199,MANUAL,,383008.7428,4832778.622,359,MAYO CLINIC HEALTH SYS FAIRMNT,800 MEDICAL CENTER DRIVE,FAIRMONT,MN,56031,46,MARTIN,507-238-8651,507-238-8659,NONPROFIT CORPORATION,,Provider Has Deemed Status,Medicare Certified Swing Bed,MAYO,MS. AMY LONG,57,16,57
200,MANUAL,,556660.363,4923149.554,20693,MAYO CLINIC HEALTH SYS LAKE CI,500 WEST GRANT STREET,LAKE CITY,MN,55041,79,WABASHA,651-345-5955,651-345-1182,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,MAYO,MR. WILLIAM PRIEST,18,2,0
201,MANUAL,,421330.5476,4890568.379,33,MAYO CLINIC HEALTH SYS MANKATO,1025 MARSH STREET,MANKATO,MN,56001,7,BLUE EARTH,507-385-2646,507-385-2908,NONPROFIT CORPORATION,,Provider Has Deemed Status,,MAYO,MR. TERRY BRANDT,272,26,272
202,MANUAL,,533994.2988,4934188.471,21423,MAYO CLINIC HEALTH SYS RED WIN,701 HEWITT BOULEVARD PO BOX 95,RED WING,MN,55066,25,GOODHUE,651-267-5000,651-267-5935,NONPROFIT CORPORATION,,Provider Has Deemed Status,,MAYO,MR. WILLIAM PRIEST,50,7,50
203,MANUAL,,342625.3184,4901154.059,44,MAYO CLINIC HEALTH SYS SPRINGF,625 JACKSON AVENUE NORTH,SPRINGFIELD,MN,56087,8,BROWN,507-723-6201,507-723-6447,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,MAYO,MR. SCOTT THORESON,24,6,0
204,MANUAL,,370334.1703,4870862.239,698,MAYO CLINIC HEALTH SYS ST JAME,1101 MOULTON & PARSONS DRIVE,ST JAMES,MN,56081,83,WATONWAN,507-375-8601,507-375-8605,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,MAYO,MR. SCOTT THORESON,25,6,0
