OBJECTID,Loc_name,Score,X,Y,HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CD,COUNTYNAME,TELEPHONE,FAX,LIC_TYPE,CAH,DEEMED,SWING,HLTH_SYS,ADMINISTRATOR,HOSP_BEDS,BASS_BEDS,HOSP18_BEDS
205,MANUAL,,459309.6704,4881075.912,908,MAYO CLINIC HEALTH SYS WASECA,501 NORTH STATE STREET,WASECA,MN,56093,81,WASECA,507-835-1210,507-781-8945,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,MAYO,MS. APRIL LANZ,35,0,0
206,MANUAL,,541458.1376,4874286.358,428,MAYO CLINIC HOSPITAL ROCHESTER,1216 2ND STREET SW,ROCHESTER,MN,55902,55,OLMSTED,507-255-1991,507-255-3125,NONPROFIT CORPORATION,,Provider Has Deemed Status,,MAYO,MR. FRANKLIN ACKERMAN,2059,81,1913
207,MANUAL,,454385.7372,4932687.569,607,MCHS NEW PRAGUE,301 2ND STREET NE,NEW PRAGUE,MN,56071,70,SCOTT,952-758-4431,952-758-2166,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,MAYO,MS. MARY KLIMP,49,6,0
208,MANUAL,,379724.5759,4997379.906,370,MEEKER MEMORIAL HOSPITAL,612 SOUTH SIBLEY AVENUE,LITCHFIELD,MN,55355,47,MEEKER,320-693-4507,320-693-4567,COUNTY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. KYLE RASMUSSEN,35,4,0
209,MANUAL,,470959.2701,5003370.054,9,MERCY HOSPITAL,4050 COON RAPIDS BOULEVARD,COON RAPIDS,MN,55433,2,ANOKA,763-236-8100,763-236-8124,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MS. SARA CRIGER,546,27,531
210,MANUAL,,517400.8011,5143127.822,27650,MERCY HOSPITAL,4572 COUNTY ROAD 61,MOOSE LAKE,MN,55767,9,CARLTON,218-485-4481,218-485-5654,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. MICHAEL DELFS,25,4,0
211,MANUAL,,448776.256,5102385.575,374,MILLE LACS HEALTH SYSTEM,200 NORTH ELM STREET,ONAMIA,MN,56359,48,MILLE LACS,320-532-2802,320-532-3111,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MS. KIM KUCERA,28,3,0
212,MANUAL,,298882.876,4964825.718,725,MUNICIPAL HOSP & GRANITE MANOR,345 10TH AVENUE,GRANITE FALLS,MN,56241,87,YELLOW MEDICINE,320-564-3111,320-313-3396,CITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ACMC,MR. TOM KOOIMAN,30,3,0
213,MANUAL,,278696.0806,4874748.456,397,MURRAY COUNTY MEM HOSP,2042 JUNIPER AVENUE,SLAYTON,MN,56172,51,MURRAY,507-836-6111,507-836-6700,COUNTY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MR. DENNIS GOEBEL,25,2,0
214,MANUAL,,382226.4064,4907735.777,839,NEW ULM MEDICAL CENTER,1324 5TH STREET NORTH,NEW ULM,MN,56073,8,BROWN,507-217-5000,507-217-5575,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. TOBY FREIER,62,10,0
215,MANUAL,,474653.6653,4984533.673,240,NORTH MEMORIAL HEALTH,3300 OAKDALE AVENUE NORTH,ROBBINSDALE,MN,55422,27,HENNEPIN,763-520-5200,763-581-4665,NONPROFIT CORPORATION,,Provider Has Deemed Status,,NORTH,MR. JEFF WICKLANDER,518,42,474
216,MANUAL,,699242.3144,5292657.826,80,NORTH SHORE HEALTH,515 5TH AVENUE WEST,GRAND MARAIS,MN,55604,16,COOK,218-387-3040,218-387-3289,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MS. KIMBER WRAALSTAD,16,0,0
217,MANUAL,,219487.3363,5344823.391,871,NORTH VALLEY HEALTH CENTER,300 WEST GOOD SAMARITAN DRIVE,WARREN,MN,56762,45,MARSHALL,218-745-4211,218-745-4215,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. JON LINNELL,12,0,0
218,MANUAL,,484791.1287,4924452.604,566,NORTHFIELD CITY HOSPITAL & NSG,2000 NORTH AVENUE,NORTHFIELD,MN,55057,19,DAKOTA,507-646-1001,507-646-1392,CITY,,,Medicare Certified Swing Bed,INDEPENDENT,MS. TAMMY HAYES,37,12,37
219,MANUAL,,544937.4617,4874258.652,422,OLMSTED MEDICAL CENTER,1650 4TH STREET SE,ROCHESTER,MN,55904,55,OLMSTED,507-287-2761,507-287-2779,NONPROFIT CORPORATION,,Provider Has Deemed Status,,INDEPENDENT,MR. TIM WEIR,61,28,61
220,MANUAL,,229912.5775,5023762.624,29,ORTONVILLE AREA HEALTH SERVICE,450 EASTVOLD AVENUE,ORTONVILLE,MN,56278,6,BIG STONE,320-839-2502,320-839-4277,CITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MR. DAVID ROGERS,25,4,0
221,MANUAL,,479906.832,4884344.725,986,OWATONNA HOSPITAL,2250 26TH STREET NW,OWATONNA,MN,55060,74,STEELE,507-977-2000,507-977-2335,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. DAVID ALBRECHT,43,16,33
222,MANUAL,,471434.2896,4975124.601,230,PARK NICOLLET METHODIST HOSP,6500 EXCELSIOR BLVD PO BOX 650,ST LOUIS PARK,MN,55440,27,HENNEPIN,952-993-5000,952-993-5936,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTHPARTNERS,MS. ROXANNA GAPSTUR,426,50,426
223,MANUAL,,302060.0325,5162487.075,28377,PERHAM HEALTH,1000 CONEY STREET WEST,PERHAM,MN,56573,56,OTTER TAIL,218-347-1301,218-347-1650,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,SANFORD,MR. CHUCK HOFIUS,25,4,0
224,MANUAL,,479153.5341,4978540.459,231,PHILLIPS EYE INSTITUTE,2215 PARK AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-775-8751,612-775-9601,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,DR. DANIEL CONRAD,20,0,20
225,MANUAL,,233516.4613,4876241.622,456,PIPESTONE COUNTY MEDICAL CENTE,916 4TH AVENUE SW,PIPESTONE,MN,56164,59,PIPESTONE,507-825-5811,507-825-5733,COUNTY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,AVERA,MR. BRADLEY BURRIS,44,7,0
226,MANUAL,,270471.0452,5097687.291,154,PRAIRIE RIDGE HOSP HLTH SERV,1411 HIGHWAY 79 EAST,ELBOW LAKE,MN,56531,26,GRANT,218-685-7300,218-685-7296,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,LAKE REGION HEALTH CARE,MS. DANIELLE LESMEISTER,10,2,0
227,MANUAL,,468163.8826,5382503.409,323,RAINY LAKE MEDICAL CENTER,1400 HIGHWAY 71,INTERNATIONAL FALLS,MN,56649,36,KOOCHICHING,218-283-4481,218-283-2281,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA / IND.,MS. BONNIE ERICKSON,25,5,0
228,MANUAL,,332640.8477,4933622.888,545,REDWOOD AREA HOSPITAL,100 FALLWOOD ROAD,REDWOOD FALLS,MN,56283,64,REDWOOD,507-637-4500,507-637-6000,CITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. BRYAN LYDICK,25,6,0
229,MANUAL,,473695.8251,4982148.763,158,REGENCY HOSPITAL OF MPLS LLC,1300 HIDDEN LAKES PARKWAY,GOLDEN VALLEY,MN,55422,27,HENNEPIN,763-302-8301,763-521-3805,LIMITED LIABILITY COMPANY,,Provider Has Deemed Status,,REGENCY,MR. TOM FUCCI - INTERIM CEO,92,0,92
230,MANUAL,,510019.3344,4954874.667,30086,REGINA HOSPITAL,1175 NININGER ROAD,HASTINGS,MN,55033,19,DAKOTA,651-480-4100,651-404-1460,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. THOMAS THOMPSON,57,12,43
231,MANUAL,,492474.5351,4977974.353,527,REGIONS HOSPITAL,640 JACKSON STREET,ST PAUL,MN,55101,62,RAMSEY,651-254-3456,651-254-2194,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTH PARTNERS,MS. MEGAN REMARK,454,26,438
232,MANUAL,,343934.1135,4959802.185,558,RENVILLE COUNTY HOSP & CLINCS,100 HEALTHY WAY,OLIVIA,MN,56277,65,RENVILLE,320-523-1261,320-523-3458,COUNTY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. NATHAN BLAD,16,3,0
233,MANUAL,,427182.2864,4922716.423,336,RIDGEVIEW LESUEUR MEDICAL CTR,621 SOUTH 4TH STREET,LE SUEUR,MN,56058,40,LESUEUR,507-665-3375,507-665-2191,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,ESSENTIA,MS. PAMELA WILLIAMS,15,0,0
234,MANUAL,,437378.2246,4965833.678,55,RIDGEVIEW MEDICAL CENTER,500 SOUTH MAPLE STREET,WACONIA,MN,55387,10,CARVER,952-442-2191,952-442-6543,NONPROFIT CORPORATION,,Provider Has Deemed Status,,INDEPENDENT,MR. ROBERT STEVENS,109,20,109
235,MANUAL,,413889.3471,4940275.446,618,RIDGEVIEW SIBLEY MEDICAL CTR,601 WEST CHANDLER,ARLINGTON,MN,55307,72,SIBLEY,507-964-2271,507-964-8495,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,RIDGEVIEW,MR. TODD SANDBERG,20,0,0
236,MANUAL,,422494.1183,4911180.081,23299,RIVERS EDGE HOSPITAL & CLINIC,1900 NORTH SUNRISE DRIVE,ST PETER,MN,56082,52,NICOLLET,507-934-7602,507-934-7651,CITY,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,INDEPENDENT,MR. GEORGE ROHRICH,17,0,0
237,MANUAL,,228952.069,5297408.292,470,RIVERVIEW HOSPITAL & NSG HOME,323 SOUTH MINNESOTA STREET,CROOKSTON,MN,56716,60,POLK,218-281-9200,218-281-9222,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,ALTRU,MS. CARRIE MICHALSKI,49,10,0
238,MANUAL,,446436.2252,5153141.77,21927,RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,AITKIN,MN,56431,1,AITKIN,218-927-5501,218-927-5575,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,ALLINA HOSP & CLINICS,MR. CHAD COOPER,25,6,0
239,MANUAL,,319175.8121,5266453.087,76,SANFORD BAGLEY MEDICAL CENTER,203 4TH STREET NW,BAGLEY,MN,56621,15,CLEARWATER,218-694-6501,218-694-3528,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MR. ROBERT BELANGER,25,4,0
240,MANUAL,,356922.1974,5262856.08,821,SANFORD BEMIDJI MEDICAL CENTER,1300 ANNE STREET NW,BEMIDJI,MN,56601,4,BELTRAMI,218-751-5430,218-333-5880,NONPROFIT CORPORATION,,Provider Has Deemed Status,,SANFORD,MR. BRYAN NERMOE,118,12,94
241,MANUAL,,240296.6809,4955723.791,722,SANFORD CANBY MEDICAL CENTER,112 ST OLAF AVENUE SOUTH,CANBY,MN,56220,87,YELLOW MEDICINE,507-223-7277,507-223-5877,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. LORI SISK,25,4,0
242,MANUAL,,338278.9486,4832110.61,305,SANFORD JACKSON MEDICAL CENTER,1430 NORTH HIGHWAY,JACKSON,MN,56143,32,JACKSON,507-847-2420,507-847-6241,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. DAWN SCHNELL,20,0,0
243,MANUAL,,241174.2838,4840454.094,574,SANFORD LUVERNE MEDICAL CENTER,1600 NORTH KNISS AVENUE,LUVERNE,MN,56156,67,ROCK,507-283-2321,507-283-2091,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. TAMMY LOOSBROCK,28,5,0
244,MANUAL,,262999.3988,5332600.435,24712,SANFORD MED CTR THIEF RVR FALL,3001 SANFORD PARKWAY,THIEF RIVER FALLS,MN,56701,57,PENNINGTON,218-681-4240,218-683-4507,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MR. BRIAN CARLSON,26,10,0
245,MANUAL,,227960.5738,5078798.34,670,SANFORD MEDICAL CENTER WHEATON,401 12TH STREET NORTH,WHEATON,MN,56296,78,TRAVERSE,320-563-8226,320-563-8012,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. JOANN FOLTZ,25,4,0
246,MANUAL,,291774.72,4900980.329,344,SANFORD TRACY MEDICAL CENTER,251 5TH STREET EAST,TRACY,MN,56175,42,LYON,507-629-8400,507-629-8486,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. STACY BARSTAD,25,0,0
247,MANUAL,,304575.6963,4879831.542,83,SANFORD WESTBROOK MEDICAL CTR,920 BELL AVENUE,WESTBROOK,MN,56183,17,COTTONWOOD,507-274-1150,507-274-1111,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. STACY BARSTAD,8,0,0
248,MANUAL,,290349.6972,4833220.936,412,SANFORD WORTHINGTON MEDICAL,1018 6TH AVENUE,WORTHINGTON,MN,56187,53,NOBLES,507-372-3110,507-372-3240,NONPROFIT CORPORATION,,,,SANFORD,MS. JENNIFER WEG,48,7,48
249,MANUAL,,483354.8837,4978397.71,256,SHRINERS HOSPITAL FOR CHILDREN,2025 EAST RIVER PARKWAY,MINNEAPOLIS,MN,55414,27,HENNEPIN,612-596-6100,612-339-9634,OTHER NONPROFIT OWNERSHIP,,Provider Has Deemed Status,,SHRINERS,MR. CHARLES LOBECK,40,0,0
250,MANUAL,,362109.2144,4906592.699,43,SLEEPY EYE MEDICAL CENTER,400 4TH AVENUE NW,SLEEPY EYE,MN,56085,8,BROWN,507-794-3571,507-794-5462,CITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. KEVIN SELLHEIM,16,4,0
251,MANUAL,,408783.5611,5047455.788,639,ST CLOUD HOSPITAL,1406 6TH AVENUE NORTH,ST CLOUD,MN,56301,73,STEARNS,320-255-5661,320-255-5711,NONPROFIT CORPORATION,,Provider Has Deemed Status,,CENTRACARE HEALTH SYSTEM,MR. CRAIG BROMAN,489,50,469
252,MANUAL,,575875.8081,4915386.395,675,ST ELIZABETHS MEDICAL CENTER,1200 GRANT BOULEVARD WEST,WABASHA,MN,55981,79,WABASHA,651-565-4531,651-565-2482,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,MINISTRY HEALTH CARE,MR. TOM CROWLEY,25,0,0
253,MANUAL,,223610.5562,5132700.393,700,ST FRANCIS MEDICAL CENTER,2400 ST FRANCIS DRIVE,BRECKENRIDGE,MN,56520,84,WILKIN,218-643-3000,218-643-0850,CHURCH RELATED,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,CATHOLIC HEALTH INITIATIVES,MR. DAVID NELSON,25,8,0
254,MANUAL,,460206.6112,4957664.125,458,ST FRANCIS REGIONAL MED CENTER,1455 ST FRANCIS AVENUE,SHAKOPEE,MN,55379,70,SCOTT,952-403-3000,952-403-3820,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. MIKE MCMAHAN,93,18,93
255,MANUAL,,394430.6835,5091270.397,383,ST GABRIELS HOSPITAL,815 SE 2ND STREET,LITTLE FALLS,MN,56345,49,MORRISON,320-632-5441,320-631-5680,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,CATHOLIC HEALTH INITIATIVES,MR. LEE BOYLES,49,10,0
256,MANUAL,,342971.0046,5197889.211,287,ST JOSEPHS AREA HLTH SERVICES,600 PLEASANT AVENUE,PARK RAPIDS,MN,56470,29,HUBBARD,218-732-3311,218-732-1368,CHURCH RELATED,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,CATHOLIC HEALTH INITIATIVES,MR. BEN KOPPELMAN,50,10,0
257,MANUAL,,492119.2931,4977240.387,524,ST JOSEPHS HOSPITAL,45 10TH STREET WEST,ST PAUL,MN,55102,62,RAMSEY,651-232-3000,651-232-3518,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTHEAST,MS. MARIA RAINES,401,40,401
258,MANUAL,,569643.6783,5183021.424,599,ST LUKES HOSPITAL,915 EAST 1ST STREET,DULUTH,MN,55805,69,SAINT LOUIS,218-249-5555,218-249-2472,NONPROFIT CORPORATION,,Provider Has Deemed Status,,INDEPENDENT,MR. ERIC LOHN,267,18,248
259,MANUAL,,273382.4736,5052033.907,653,STEVENS COMMUNITY MED CENTER,400 EAST 1ST STREET,MORRIS,MN,56267,75,STEVENS,320-589-1313,320-589-1065,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,,INDEPENDENT,MR. JASON BREUER,49,5,0
260,MANUAL,,295496.1228,5021184.039,659,SWIFT COUNTY BENSON HLTH SVCS,1815 WISCONSIN AVENUE,BENSON,MN,56215,76,SWIFT,320-843-4232,320-843-4172,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,IND. / AMC,MR. KURT WALDBILLIG,21,0,0
261,MANUAL,,336062.1069,5145778.042,680,TRI COUNTY HOSPITAL,415 JEFFERSON STREET NORTH,WADENA,MN,56482,80,WADENA,218-631-7489,218-631-7503,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,INDEPENDENT,MR. JOEL BEISWENGER,49,6,0
262,MANUAL,,491547.0273,4976666.23,525,UNITED HOSPITAL,333 NORTH SMITH AVENUE,ST PAUL,MN,55102,62,RAMSEY,651-241-8000,651-241-5189,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. TOM O'CONNOR,546,40,515
263,MANUAL,,411222.4603,4831826.999,117,UNITED HOSPITAL DISTRICT,515 S MOORE STREET PO BOX 160,BLUE EARTH,MN,56013,22,FARIBAULT,507-526-3273,507-526-3621,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,INDEPENDENT,MR. RICHARD ASH,43,4,0
264,MANUAL,,505288.7272,5250600.7,859,UNIVERSITY MEDICAL CTR MESABI,750 EAST 34TH STREET,HIBBING,MN,55746,69,SAINT LOUIS,218-362-6730,218-362-6619,NONPROFIT CORPORATION,,Provider Has Deemed Status,,FAIRVIEW HEALTH SERVICES,MR. PATRICK SHARP,175,16,175
265,MANUAL,,481304.4055,4979342.212,200,UNIVERSITY OF MN MED CTR,2450 RIVERSIDE AVENUE,MINNEAPOLIS,MN,55454,27,HENNEPIN,612-273-6000,612-273-4051,CHURCH RELATED,,Provider Has Deemed Status,,U OF M,MS. ELIZABETH LARSEN,1700,168,1525
266,MANUAL,,330221.9166,4860615.924,796,WINDOM AREA HOSPITAL,2150 HOSPITAL DRIVE,WINDOM,MN,56101,17,COTTONWOOD,507-831-2400,507-831-5749,CITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,SANFORD,MS. SHELBY MEDINA,18,6,0
267,MANUAL,,610341.2236,4876510.663,701,WINONA HEALTH SERVICES,855 MANKATO AVENUE,WINONA,MN,55987,85,WINONA,507-454-3650,507-457-4159,NONPROFIT CORPORATION,,,,INDEPENDENT,MS. RACHELLE SCHULTZ,49,8,38
268,MANUAL,100,479778.532,4994813.09,11,UNITY HOSPITAL,550 OSBORNE RD,FRIDLEY,MN,55432,2,ANOKA,763-236-3888,763-236-3774,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MS. HELEN STRIKE,275,0,260
269,MANUAL,100,542809.1304,4874672.672,423,MAYO CLINIC HOSPITAL - METHODIST CAMP,201 WEST CENTER STREET,ROCHESTER,MN,55902,,,507-266-7067,,SEE HFID428 - MAYO CLINIC HOSPITAL ROCH*,,,,MAYO,SEE HFID428 - MAYO CLINIC HOSPITAL ROCHESTER,,,
270,MANUAL,100,501716.3408,4835728.214,395,MAYO CLINIC HEALTH SYS AUSTIN,1000 FIRST DRIVE NORTHWEST,AUSTIN,MN,55912,,,507-433-7351,,,,,,MAYO,INFORMATION NOT FOUND,82,,
271,MANUAL,100,483755.3893,4972041.615,0,VA MEDICAL CENTER,1 VETERANS DR,FORT SNELLING,MN,55111,,HENNEPIN,612-725-2000,,,,,,VA HEALTH CARE SYSTEM,INFORMATION NOT FOUND,,,
272,MANUAL,,481747.7779,4979762.39,,"U OF M MED CNTR, EAST BANK",500 SE HARVARD ST,MINNEAPOLIS,MN,55455,,HENNEPIN,612-672-7000,,MS. CAROLYN WILSON,,,,,SEE HFID200 UNIVERSITY OF MN MED CTR,,,
273,MANUAL,,481287.4465,4979247.67,,UM MASONIC CHILDRENS HOSPITAL,2450 RIVERSIDE AVE,MINNEAPOLIS,MN,55455,,HENNEPIN,612-365-1000,,MS. CAROLYN WILSON,,,,,SEE HFID200 UNIVERSITY OF MN MED CTR,,,
274,MANUAL,,378583.5991,5249139.055,22140,CASS LAKE INDIAN HLTH SERV HOS,425 7TH STREET NW,CASS LAKE,MN,56633,11,CASS,218-335-3200,218-335-3300,U.S. PUBLIC HEALTH SERVICE,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MS. NORINE SMITH,0,0,0
275,,,348273.8066,5304716.453,,RED LAKE HOSPITAL,24760 HOSPITAL DRIVE,RED LAKE,MN,56671,,BELTRAMI,218-679-3712,,,CRITICAL ACCESS,,,,INFORMATION NOT FOUND,,,
